"Relative Energy Availability (fraction of Earth)","P Concentration (mol/m^3)","Steady State Biomass (cells/ml)","Flow (Mortality) Rate (same units as growth rate)"
0.039810717055349776,0.0199526231496888,4.019635995263961e7,0.5069953054470063
0.05011872336272725,0.0199526231496888,4.9339815115191914e7,0.6223213909045228
0.06309573444801943,0.0199526231496888,6.022085891211284e7,0.7595636220394304
0.07943282347242822,0.0199526231496888,7.301050021653704e7,0.9208789278863817
0.1,0.0199526231496888,8.782674754373723e7,1.1077557457893652
0.12589254117941687,0.0199526231496888,1.0470466815852876e8,1.3206363779532901
0.15848931924611143,0.0199526231496888,1.2356696215684597e8,1.5585458433470603
0.19952623149688828,0.0199526231496888,1.4420169388103867e8,1.8188110048106938
0.25118864315095824,0.0199526231496888,1.6625485167124647e8,2.096966725455324
0.31622776601683794,0.0199526231496888,1.892439794888087e8,2.386927803860381
0.39810717055349776,0.0199526231496888,2.125947190101437e8,2.6814498782467524
0.5011872336272725,0.0199526231496888,2.3569568844051516e8,2.9728216110671517
0.6309573444801942,0.0199526231496888,2.5796116880826384e8,3.253655349079038
0.7943282347242822,0.0199526231496888,2.7888835362172043e8,3.517609211298038
1.,0.0199526231496888,2.9809781872229505e8,3.759897533862925
1.e-8,0.025118864315095794,13.43052877395463,1.413402256785831e-7
1.2589254117941661e-8,0.025118864315095794,16.908033713492383,1.779368006052814e-7
1.5848931924611143e-8,0.025118864315095794,21.285953129146243,2.2400915805728846e-7
1.9952623149688786e-8,0.025118864315095794,26.79742700422848,2.8201081851302824e-7
2.511886431509582e-8,0.025118864315095794,33.73596139191311,3.550305810089952e-7
3.162277660168379e-8,0.025118864315095794,42.471058502034786,4.469570127603678e-7
3.981071705534969e-8,0.025118864315095794,53.4678935854879,5.626855292415456e-7
5.011872336272725e-8,0.025118864315095794,67.312088132996,7.08379092430512e-7
6.30957344480193e-8,0.025118864315095794,84.74089529563378,8.917964102453856e-7
7.943282347242822e-8,0.025118864315095794,106.68246186498496,1.1227051148254514e-6
1.e-7,0.025118864315095794,134.30525495332344,1.4134019226460385e-6
1.2589254117941662e-7,0.025118864315095794,169.08028696559666,1.7793674764769704e-6
1.584893192461114e-7,0.025118864315095794,212.8594517588033,2.2400907412518133e-6
1.9952623149688787e-7,0.025118864315095794,267.9741440377447,2.820106854896189e-6
2.5118864315095823e-7,0.025118864315095794,337.3594138936849,3.550303701811307e-6
3.162277660168379e-7,0.025118864315095794,424.7102664976818,4.469566786207835e-6
3.981071705534969e-7,0.025118864315095794,534.6784321408112,5.6268499966611835e-6
5.011872336272725e-7,0.025118864315095794,673.1200829354718,7.083782531102728e-6
6.30957344480193e-7,0.025118864315095794,847.407688855334,8.917950800129506e-6
7.943282347242822e-7,0.025118864315095794,1066.8226158281327,0.000011227030065501156
1.e-6,0.025118864315095794,1343.0493753978892,0.000014133985812567966
1.2589254117941661e-6,0.025118864315095794,1690.797837973649,0.0000177936218073587
1.584893192461114e-6,0.025118864315095794,2128.586541914735,0.000022400823480756995
1.995262314968883e-6,0.025118864315095794,2679.728800332975,0.000028200935526242812
2.5118864315095823e-6,0.025118864315095794,3373.574105285977,0.00003550282619162579
3.162277660168379e-6,0.025118864315095794,4247.070914005698,0.000044695333725241796
3.981071705534969e-6,0.025118864315095794,5346.73399981471,0.000056267970396667096
5.011872336272725e-6,0.025118864315095794,6731.121076941245,0.00007083698600172673
6.309573444801943e-6,0.025118864315095794,8473.950488476377,0.00008917817779068618
7.943282347242822e-6,0.025118864315095794,10668.02582861589,0.00011226819242322445
0.00001,0.025118864315095794,13430.17625440347,0.0001413365168233283
0.000012589254117941661,0.025118864315095794,16907.47518099297,0.00017793092250585407
0.00001584893192461114,0.025118864315095794,21285.06790972491,0.00022399984197736644
0.00001995262314968883,0.025118864315095794,26796.024050163367,0.0002819960536806887
0.000025118864315095822,0.025118864315095794,33733.737853438426,0.00035500718064458605
0.000031622776601683795,0.025118864315095794,42467.53434228511,0.0004469199263162991
0.000039810717055349695,0.025118864315095794,53462.30840203703,0.0005626267524541232
0.00005011872336272725,0.025118864315095794,67303.23646590443,0.0007082859400247638
0.00006309573444801943,0.025118864315095794,84726.86693894793,0.000891648778668412
0.00007943282347242822,0.025118864315095794,106660.22943781162,0.0011224711445929868
0.0001,0.025118864315095794,134270.02084374765,0.0014130311248655677
0.00012589254117941688,0.025118864315095794,169024.4483681152,0.0017787798415954666
0.00015848931924611142,0.025118864315095794,212770.96102099537,0.0022391594825197933
0.00019952623149688788,0.025118864315095794,267833.9108395846,0.002818631068445253
0.0002511886431509582,0.025118864315095794,337137.1893809787,0.003547965055428022
0.00031622776601683794,0.025118864315095794,424358.1245768525,0.004465860914809713
0.00039810717055349773,0.025118864315095794,534120.4448592698,0.005620977849491111
0.0005011872336272725,0.025118864315095794,672235.9722519651,0.007074478324182149
0.0006309573444801943,0.025118864315095794,846006.945028094,0.008903209649224478
0.0007943282347242822,0.025118864315095794,1.0646035381421503e6,0.011203676930891516
